ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",765246,0.0001,0.4305,0.5399,0.0296,591570,0.5864,0.4136,0.0661,0.3002,0.0311,0.0197,0.003,
"2",765153,0,0.531,0.4481,0.0209,588423,0.4347,0.5653,0.052,0.4791,0.0246,0.0157,0.0024,
"3",765234,0.0001,0.3034,0.669,0.0276,589111,0.6785,0.3215,0.048,0.232,0.0218,0.0202,0.001,
"4",764847,-0.0004,0.7753,0.1973,0.0275,588427,0.2671,0.7329,0.0748,0.5841,0.0719,0.0156,0.0013,
"5",765621,0.0006,0.8242,0.1485,0.0273,605791,0.2764,0.7236,0.0634,0.6226,0.0345,0.0145,0.0014,
"6",765328,0.0003,0.4623,0.4903,0.0475,589687,0.5808,0.4192,0.1144,0.1339,0.1576,0.0153,0.0013,
"7",765191,0.0001,0.4997,0.4603,0.04,567534,0.3517,0.6483,0.2312,0.2539,0.1599,0.0214,0.0016,
"8",764973,-0.0002,0.2979,0.6852,0.017,583106,0.6212,0.3788,0.0705,0.2838,0.0114,0.0167,0.0012,
"9",764420,-0.0009,0.1762,0.7934,0.0304,594968,0.8277,0.1723,0.0906,0.0347,0.0185,0.0289,0.001,
"10",764541,-0.0008,0.2942,0.6723,0.0334,587671,0.6987,0.3013,0.1131,0.1372,0.0307,0.0216,0.0011,
"11",766149,0.0013,0.4889,0.4669,0.0442,591848,0.5125,0.4875,0.1259,0.2807,0.0636,0.0198,0.0014,
"12",765208,0.0001,0.4369,0.5396,0.0236,589809,0.5336,0.4664,0.0427,0.3821,0.0292,0.0164,0.0023,
"13",765013,-0.0002,0.635,0.3427,0.0223,573031,0.2764,0.7236,0.0891,0.5917,0.0388,0.0177,0.0015,
"14",764984,-0.0002,0.233,0.7319,0.0352,579298,0.7449,0.2551,0.0891,0.1217,0.0194,0.0254,0.0012,
"Summary",765136,0.0023,0.4589,0.5105,0.0306,587162,0.5282,0.4718,0.0904,0.3173,0.0507,0.0192,0.0015,
